Depth;Name;Statistic;#Cells
> ;Fenotipagem_SWAB_046.fcs/Lymphocytes;25,5;6800
> > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells;96,7;6576
> > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells;94,6;6223
> > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells;34,5;2148
> > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/B cell sw;54,5;1171
> > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC;54,3;1166
> > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC;69,9;815
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgA;39,6;323
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgG;56,3;459
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgM;2,82;23
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+;0,61;5
> > > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgA;20;1
> > > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgG;80;4
> > > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgM;0;0
> > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC;29,6;345
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC/unsw MBC S+;1,16;4
> > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm ;5,63;121
> > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM;95,9;116
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/iga;47,4;55
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igg;50;58
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igM;0,86;1
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/SW Plasm S+;0,86;1
> > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM;4,13;5
> > > > > > > ;Fenotipagem_SWAB_046.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+;0;0
;Fenotipagem_SWAB_047.fcs;;464202
> ;Fenotipagem_SWAB_047.fcs/Lymphocytes;22,8;105774
> > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells;96,2;101743
> > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells;92,5;94083
> > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells;14,5;13680
> > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/B cell sw;55,2;7550
> > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC;55,9;7652
> > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC;71,3;5459
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgA;65,5;3577
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgG;25,4;1388
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgM;6,06;331
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+;2,6;142
> > > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgA;90,1;128
> > > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgG;4,93;7
> > > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgM;2,82;4
> > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC;27,4;2096
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC/unsw MBC S+;1,34;28
> > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm ;4,87;666
> > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM;89,6;597
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/iga;50,1;299
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igg;42,2;252
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igM;3,35;20
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/SW Plasm S+;0,5;3
> > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM;8,56;57
> > > > > > > ;Fenotipagem_SWAB_047.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+;3,51;2
;Fenotipagem_SWAB_048.fcs;;18741
> ;Fenotipagem_SWAB_048.fcs/Lymphocytes;23,4;4382
> > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells;96,4;4223
> > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells;91,6;3870
> > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells;6,05;234
> > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/B cell sw;73,5;172
> > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC;76,1;178
> > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC;82,6;147
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgA;75,5;111
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgG;21,8;32
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/IgM;0,68;1
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+;4,08;6
> > > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgA;66,7;4
> > > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgG;33,3;2
> > > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/SW MBC/SW MBS S+/MBC S+ IgM;0;0
> > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC;16,3;29
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/MBC/unsw MBC/unsw MBC S+;3,45;1
> > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm ;1,71;4
> > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM;75;3
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/iga;0;0
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igg;66,7;2
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/igM;0;0
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /SW PLASM/SW Plasm S+;0;0
> > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM;25;1
> > > > > > > ;Fenotipagem_SWAB_048.fcs/Lymphocytes/Single Cells/Live cells/B cells/Plasm /unsw PLASM/Unsw plasm s+;0;0
